userId,bookingDate,side,amount,currency,type,mcc
00909ba7-ad01-42f1-9074-2773c7d3cf2c,2024-06-03,CREDIT,254.10,EUR,PAYIN,
00909ba7-ad01-42f1-9074-2773c7d3cf2c,2024-06-03,DEBIT,98.61,EUR,TRADING,
00909ba7-ad01-42f1-9074-2773c7d3cf2c,2024-06-03,DEBIT,99.83,EUR,TRADING,
00909ba7-ad01-42f1-9074-2773c7d3cf2c,2024-06-03,DEBIT,48.41,EUR,TRADING,
00909ba7-ad01-42f1-9074-2773c7d3cf2c,2024-06-04,CREDIT,8954.10,EUR,PAYIN,
00909ba7-ad01-42f1-9074-2773c7d3cf2c,2024-06-04,DEBIT,118.84,EUR,TRADING,
00909ba7-ad01-42f1-9074-2773c7d3cf2c,2024-06-05,DEBIT,1121.94,EUR,TRADING,
00909ba7-ad01-42f1-9074-2773c7d3cf2c,2024-06-06,CREDIT,241.34,EUR,PAYIN,
00909ba7-ad01-42f1-9074-2773c7d3cf2c,2024-06-12,CREDIT,151.18,EUR,PAYIN,
00909ba7-ad01-42f1-9074-2773c7d3cf2c,2024-06-12,DEBIT,154.87,EUR,TRADING,
00909ba7-ad01-42f1-9074-2773c7d3cf2c,2024-06-13,DEBIT,1732.65,EUR,TRADING,
00909ba7-ad01-42f1-9074-2773c7d3cf2c,2024-06-14,CREDIT,995.70,EUR,PAYIN,
00909ba7-ad01-42f1-9074-2773c7d3cf2c,2024-06-17,CREDIT,234.87,EUR,PAYIN,
00909ba7-ad01-42f1-9074-2773c7d3cf2c,2024-06-17,DEBIT,1186.80,EUR,TRADING,
00909ba7-ad01-42f1-9074-2773c7d3cf2c,2024-06-18,CREDIT,193.41,EUR,PAYIN,
00909ba7-ad01-42f1-9074-2773c7d3cf2c,2024-06-19,DEBIT,1730.98,EUR,TRADING,
00909ba7-ad01-42f1-9074-2773c7d3cf2c,2024-06-20,CREDIT,247.64,EUR,PAYIN,
00909ba7-ad01-42f1-9074-2773c7d3cf2c,2024-06-21,DEBIT,211.87,EUR,TRADING,
00909ba7-ad01-42f1-9074-2773c7d3cf2c,2024-06-28,CREDIT,0.07,EUR,EARNINGS,
00909ba7-ad01-42f1-9074-2773c7d3cf2c,2024-06-28,DEBIT,760.79,EUR,TRADING,
00909ba7-ad01-42f1-9074-2773c7d3cf2c,2024-06-28,DEBIT,261.20,EUR,TRADING,
00909ba7-ad01-42f1-9074-2773c7d3cf2c,2024-06-30,CREDIT,299.58,EUR,PAYIN,
016e4ff3-91b2-490f-9c1e-a09defe004b2,2024-04-01,DEBIT,51.81,EUR,TRADING,
016e4ff3-91b2-490f-9c1e-a09defe004b2,2024-04-01,DEBIT,47.18,EUR,TRADING,
016e4ff3-91b2-490f-9c1e-a09defe004b2,2024-04-02,CREDIT,100.90,EUR,PAYIN,
016e4ff3-91b2-490f-9c1e-a09defe004b2,2024-04-03,CREDIT,281.64,EUR,PAYIN,
016e4ff3-91b2-490f-9c1e-a09defe004b2,2024-04-03,DEBIT,50.49,EUR,TRADING,
016e4ff3-91b2-490f-9c1e-a09defe004b2,2024-04-03,DEBIT,20.46,EUR,TRADING,
016e4ff3-91b2-490f-9c1e-a09defe004b2,2024-04-03,DEBIT,27.27,EUR,TRADING,
016e4ff3-91b2-490f-9c1e-a09defe004b2,2024-04-04,DEBIT,36.75,EUR,TRADING,
016e4ff3-91b2-490f-9c1e-a09defe004b2,2024-04-04,DEBIT,24.75,EUR,TRADING,
016e4ff3-91b2-490f-9c1e-a09defe004b2,2024-04-04,DEBIT,25.55,EUR,TRADING,
016e4ff3-91b2-490f-9c1e-a09defe004b2,2024-04-04,DEBIT,29.54,EUR,TRADING,
016e4ff3-91b2-490f-9c1e-a09defe004b2,2024-04-04,DEBIT,20.39,EUR,TRADING,
016e4ff3-91b2-490f-9c1e-a09defe004b2,2024-04-04,DEBIT,25.41,EUR,TRADING,
016e4ff3-91b2-490f-9c1e-a09defe004b2,2024-04-04,DEBIT,24.75,EUR,TRADING,
016e4ff3-91b2-490f-9c1e-a09defe004b2,2024-04-04,DEBIT,21.43,EUR,TRADING,
016e4ff3-91b2-490f-9c1e-a09defe004b2,2024-04-04,DEBIT,59.05,EUR,TRADING,
016e4ff3-91b2-490f-9c1e-a09defe004b2,2024-04-04,DEBIT,12.77,EUR,TRADING,
016e4ff3-91b2-490f-9c1e-a09defe004b2,2024-04-04,DEBIT,5.04,EUR,TRADING,
016e4ff3-91b2-490f-9c1e-a09defe004b2,2024-04-09,CREDIT,201.84,EUR,PAYIN,
016e4ff3-91b2-490f-9c1e-a09defe004b2,2024-04-10,DEBIT,21.34,EUR,TRADING,
016e4ff3-91b2-490f-9c1e-a09defe004b2,2024-04-10,DEBIT,50.64,EUR,TRADING,
016e4ff3-91b2-490f-9c1e-a09defe004b2,2024-04-10,DEBIT,21.34,EUR,TRADING,
016e4ff3-91b2-490f-9c1e-a09defe004b2,2024-04-10,DEBIT,27.23,EUR,TRADING,
016e4ff3-91b2-490f-9c1e-a09defe004b2,2024-04-10,DEBIT,80.99,EUR,TRADING,
016e4ff3-91b2-490f-9c1e-a09defe004b2,2024-04-30,CREDIT,272.65,EUR,PAYIN,
016e4ff3-91b2-490f-9c1e-a09defe004b2,2024-05-02,DEBIT,214.33,EUR,PAYOUT,
016e4ff3-91b2-490f-9c1e-a09defe004b2,2024-05-02,DEBIT,40.00,EUR,TRADING,
016e4ff3-91b2-490f-9c1e-a09defe004b2,2024-05-02,DEBIT,20.00,EUR,TRADING,
016e4ff3-91b2-490f-9c1e-a09defe004b2,2024-05-07,CREDIT,0.77,EUR,EARNINGS,
016e4ff3-91b2-490f-9c1e-a09defe004b2,2024-05-11,CREDIT,1.52,EUR,EARNINGS,
016e4ff3-91b2-490f-9c1e-a09defe004b2,2024-05-13,DEBIT,2.30,EUR,PAYOUT,
016e4ff3-91b2-490f-9c1e-a09defe004b2,2024-05-13,DEBIT,2.30,EUR,PAYOUT,
016e4ff3-91b2-490f-9c1e-a09defe004b2,2024-05-13,DEBIT,2.32,EUR,PAYOUT,
016e4ff3-91b2-490f-9c1e-a09defe004b2,2024-05-13,DEBIT,2.26,EUR,PAYOUT,
016e4ff3-91b2-490f-9c1e-a09defe004b2,2024-05-13,DEBIT,2.30,EUR,PAYOUT,
016e4ff3-91b2-490f-9c1e-a09defe004b2,2024-05-13,DEBIT,2.32,EUR,PAYOUT,
016e4ff3-91b2-490f-9c1e-a09defe004b2,2024-05-13,CREDIT,97.45,EUR,TRADING,
016e4ff3-91b2-490f-9c1e-a09defe004b2,2024-05-15,DEBIT,86.74,EUR,PAYOUT,
016e4ff3-91b2-490f-9c1e-a09defe004b2,2024-05-15,CREDIT,13.43,EUR,TRADING,
016e4ff3-91b2-490f-9c1e-a09defe004b2,2024-05-15,CREDIT,17.30,EUR,TRADING,
016e4ff3-91b2-490f-9c1e-a09defe004b2,2024-05-15,CREDIT,21.20,EUR,TRADING,
016e4ff3-91b2-490f-9c1e-a09defe004b2,2024-05-15,CREDIT,23.13,EUR,TRADING,
016e4ff3-91b2-490f-9c1e-a09defe004b2,2024-05-15,DEBIT,26.49,EUR,TRADING,
016e4ff3-91b2-490f-9c1e-a09defe004b2,2024-05-15,CREDIT,49.49,EUR,TRADING,
016e4ff3-91b2-490f-9c1e-a09defe004b2,2024-05-15,CREDIT,2.32,EUR,TRADING,
016e4ff3-91b2-490f-9c1e-a09defe004b2,2024-05-16,DEBIT,88.16,EUR,PAYOUT,
016e4ff3-91b2-490f-9c1e-a09defe004b2,2024-05-17,CREDIT,0.16,EUR,EARNINGS,
016e4ff3-91b2-490f-9c1e-a09defe004b2,2024-05-21,CREDIT,0.95,EUR,EARNINGS,
016e4ff3-91b2-490f-9c1e-a09defe004b2,2024-06-13,CREDIT,0.04,EUR,EARNINGS,
